batsman,team1,team2,venue,date,runs,delivery,4s,6s,ducks,strike_rate,50s,100s,points,sr_bonus
KA Pollard,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,22.0,6,0,3,0,366.6666666666666,0,0,34.0,6
N Rana,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,8.0,7,0,1,1,114.28571428571428,0,0,8.0,0
PJ Cummins,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,56.0,15,4,6,0,373.3333333333333,1,0,86.0,6
RG Sharma,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,3.0,12,0,0,1,25.0,0,0,1.0,0
SA Yadav,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,52.0,36,5,2,1,144.44444444444443,1,0,69.0,2
SS Iyer,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,10.0,6,2,0,1,166.66666666666669,0,0,14.0,4
SW Billings,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,17.0,12,0,2,1,141.66666666666669,0,0,21.0,2
Tilak Varma,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,38.0,27,3,2,0,140.74074074074073,0,0,47.0,2
VR Iyer,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,50.0,41,6,1,0,121.95121951219512,1,0,66.0,0
A Badoni,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,1.0,7,0,0,1,14.285714285714285,0,0,-1.0,0
C Green,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,41.0,23,6,1,1,178.26086956521738,0,0,53.0,6
CJ Jordan,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,4.0,7,0,0,1,57.14285714285714,0,0,2.0,0
DJ Hooda,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,15.0,14,0,1,0,107.14285714285714,0,0,17.0,0
HR Shokeen,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,0.0,1,0,0,0,0.0,0,0,0.0,0
Ishan Kishan,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,15.0,12,3,0,1,125.0,0,0,16.0,0
K Gowtham,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,2.0,3,0,0,1,66.66666666666666,0,0,0.0,0
KH Pandya,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,8.0,11,1,0,1,72.72727272727273,0,0,7.0,0
KR Mayers,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,18.0,13,3,0,1,138.46153846153845,0,0,21.0,2
MP Stoinis,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,40.0,29,5,1,0,137.93103448275863,0,0,49.0,2
Mohsin Khan,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,0.0,7,0,0,1,0.0,0,0,-2.0,0
N Pooran,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,0.0,1,0,0,1,0.0,0,0,-2.0,0
N Wadhera,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,23.0,12,2,2,1,191.66666666666669,0,0,33.0,6
Naveen-ul-Haq,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,1.0,5,0,0,1,20.0,0,0,-1.0,0
PN Mankad,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,3.0,6,0,0,1,50.0,0,0,1.0,0
RG Sharma,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,11.0,10,1,1,1,110.0,0,0,12.0,0
Ravi Bishnoi,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,3.0,6,0,0,1,50.0,0,0,1.0,0
SA Yadav,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,33.0,20,2,2,1,165.0,0,0,41.0,4
TH David,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,13.0,16,1,0,1,81.25,0,0,12.0,0
Tilak Varma,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,26.0,25,0,2,1,104.0,0,0,28.0,0
A Badoni,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,6.0,6,1,0,0,100.0,0,0,7.0,0
AA Kulkarni,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,0.0,1,0,0,1,0.0,0,0,-2.0,0
AJ Turner,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,5.0,9,0,0,1,55.55555555555556,0,0,3.0,0
DJ Hooda,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,18.0,19,2,0,1,94.73684210526316,0,0,18.0,0
G Coetzee,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,1.0,2,0,0,0,50.0,0,0,1.0,0
HH Pandya,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,0.0,1,0,0,1,0.0,0,0,-2.0,0
Ishan Kishan,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,32.0,38,3,0,1,84.21052631578947,0,0,33.0,0
KH Pandya,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,1.0,1,0,0,0,100.0,0,0,1.0,0
KL Rahul,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,28.0,24,3,1,1,116.66666666666669,0,0,31.0,0
MP Stoinis,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,62.0,46,7,2,1,134.7826086956522,1,0,81.0,2
Mohammad Nabi,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,1.0,2,0,0,1,50.0,0,0,-1.0,0
N Pooran,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,14.0,16,1,0,0,87.5,0,0,15.0,0
N Wadhera,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,46.0,43,4,2,1,106.9767441860465,0,0,52.0,0
RG Sharma,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,4.0,5,1,0,1,80.0,0,0,3.0,0
SA Yadav,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,10.0,6,0,1,1,166.66666666666669,0,0,14.0,4
TH David,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,35.0,18,3,1,0,194.44444444444443,0,0,46.0,6
Tilak Varma,Mumbai Indians,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,7.0,11,1,0,1,63.63636363636363,0,0,6.0,0
A Symonds,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,16.0,15,2,0,0,106.66666666666669,0,0,18.0,0
AC Thomas,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,0.0,2,0,0,0,0.0,0,0,0.0,0
AT Rayudu,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,37.0,40,4,0,1,92.5,0,0,39.0,0
JD Ryder,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,12.0,16,2,0,1,75.0,0,0,12.0,0
JEC Franklin,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,6.0,8,1,0,1,75.0,0,0,5.0,0
M Kartik,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,11.0,13,1,0,1,84.61538461538461,0,0,10.0,0
M Manhas,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,0.0,1,0,0,1,0.0,0,0,-2.0,0
MD Mishra,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,12.0,10,2,0,1,120.0,0,0,12.0,0
R Sharma,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,13.0,9,1,1,1,144.44444444444443,0,0,16.0,2
RG Sharma,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,20.0,18,1,1,0,111.11111111111111,0,0,23.0,0
RV Uthappa,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,45.0,37,6,1,1,121.62162162162164,0,0,51.0,0
SB Wagh,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,2.0,2,0,0,1,100.0,0,0,0.0,0
SR Tendulkar,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,35.0,40,2,0,1,87.5,0,0,35.0,0
TD Paine,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,2.0,9,0,0,1,22.22222222222222,0,0,0.0,0
WD Parnell,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,9.0,8,1,0,1,112.5,0,0,8.0,0
Yuvraj Singh,Mumbai Indians,Pune Warriors,Wankhede Stadium,2011-04-20,0.0,2,0,0,1,0.0,0,0,-2.0,0
AT Rayudu,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,1.0,2,0,0,1,50.0,0,0,-1.0,0
B Kumar,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,2.0,4,0,0,1,50.0,0,0,0.0,0
CJ Ferguson,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,12.0,13,1,0,1,92.3076923076923,0,0,11.0,0
Harbhajan Singh,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,16.0,15,2,0,1,106.66666666666669,0,0,16.0,0
JEC Franklin,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,32.0,44,1,1,1,72.72727272727273,0,0,33.0,0
KA Pollard,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,8.0,11,0,0,1,72.72727272727273,0,0,6.0,0
KD Karthik,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,32.0,34,4,1,1,94.11764705882352,0,0,36.0,0
M Kartik,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,14.0,9,1,1,0,155.55555555555557,0,0,21.0,4
MK Pandey,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,0.0,5,0,0,1,0.0,0,0,-2.0,0
MM Patel,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,1.0,2,0,0,0,50.0,0,0,1.0,0
MN Samuels,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,4.0,4,0,0,1,100.0,0,0,2.0,0
PP Ojha,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,0.0,1,0,0,0,0.0,0,0,0.0,0
RE Levi,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,0.0,2,0,0,1,0.0,0,0,-2.0,0
RG Sharma,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,1.0,6,0,0,1,16.666666666666664,0,0,-1.0,0
RV Uthappa,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,36.0,35,3,0,1,102.85714285714285,0,0,37.0,0
SA Yadav,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,0.0,4,0,0,1,0.0,0,0,-2.0,0
SC Ganguly,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,3.0,6,0,0,1,50.0,0,0,1.0,0
SL Malinga,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,5.0,3,1,0,1,166.66666666666669,0,0,4.0,0
SPD Smith,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,39.0,32,4,0,1,121.875,0,0,41.0,0
WD Parnell,Mumbai Indians,Pune Warriors,Wankhede Stadium,2012-04-06,11.0,15,2,0,1,73.33333333333333,0,0,11.0,0
AD Mathews,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,19.0,19,0,1,1,100.0,0,0,19.0,0
AJ Finch,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,0.0,1,0,0,1,0.0,0,0,-2.0,0
AM Nayar,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,6.0,8,0,0,1,75.0,0,0,4.0,0
B Kumar,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,6.0,11,0,0,0,54.54545454545454,0,0,6.0,0
KA Pollard,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,19.0,15,1,1,0,126.66666666666666,0,0,22.0,0
KD Karthik,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,41.0,29,4,1,1,141.3793103448276,0,0,47.0,2
LRPL Taylor,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,4.0,6,1,0,0,66.66666666666666,0,0,5.0,0
MR Marsh,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,38.0,26,2,2,1,146.15384615384613,0,0,44.0,2
R Sharma,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,10.0,12,1,0,0,83.33333333333334,0,0,11.0,0
RG Sharma,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,62.0,32,3,5,0,193.75,1,0,89.0,6
RT Ponting,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,14.0,17,2,0,1,82.35294117647058,0,0,14.0,0
RV Uthappa,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,7.0,10,1,0,2,70.0,0,0,4.0,0
SR Tendulkar,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,44.0,30,7,1,1,146.66666666666666,0,0,53.0,2
TL Suman,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,23.0,15,5,0,1,153.33333333333334,0,0,30.0,4
Yuvraj Singh,Mumbai Indians,Pune Warriors,Wankhede Stadium,2013-04-13,24.0,16,1,2,1,150.0,0,0,31.0,4
CH Gayle,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,43.0,38,5,2,0,113.1578947368421,0,0,52.0,0
HH Pandya,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,1.0,5,0,0,1,20.0,0,0,-1.0,0
Ishan Kishan,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,6.0,17,0,0,1,35.294117647058826,0,0,4.0,0
KA Pollard,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,16.0,12,0,1,0,133.33333333333331,0,0,20.0,2
KH Pandya,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,3.0,3,0,0,1,100.0,0,0,1.0,0
KL Rahul,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,60.0,52,3,3,0,115.38461538461536,1,0,77.0,0
MA Agarwal,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,25.0,20,4,1,1,125.0,0,0,29.0,0
Q de Kock,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,3.0,5,0,0,1,60.0,0,0,1.0,0
RG Sharma,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,63.0,52,5,2,1,121.15384615384616,1,0,78.0,0
SA Yadav,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2021-04-23,33.0,28,3,1,1,117.85714285714286,0,0,36.0,0
Ashutosh Sharma,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,61.0,29,2,7,1,210.3448275862069,1,0,89.0,6
HH Pandya,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,10.0,6,0,1,1,166.66666666666669,0,0,14.0,4
HV Patel,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,1.0,4,0,0,0,25.0,0,0,1.0,0
Harpreet Brar,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,21.0,22,2,1,1,95.45454545454544,0,0,23.0,0
Harpreet Singh,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,13.0,15,2,0,1,86.66666666666667,0,0,13.0,0
Ishan Kishan,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,8.0,8,1,0,1,100.0,0,0,7.0,0
JM Sharma,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,9.0,10,1,0,1,90.0,0,0,8.0,0
K Rabada,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,8.0,4,0,1,0,200.0,0,0,10.0,0
LS Livingstone,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,1.0,2,0,0,1,50.0,0,0,-1.0,0
Mohammad Nabi,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,0.0,1,0,0,1,0.0,0,0,-2.0,0
P Simran Singh,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,0.0,1,0,0,1,0.0,0,0,-2.0,0
R Shepherd,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,1.0,2,0,0,1,50.0,0,0,-1.0,0
RG Sharma,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,36.0,26,2,3,1,138.46153846153845,0,0,44.0,2
RR Rossouw,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,1.0,3,0,0,1,33.33333333333333,0,0,-1.0,0
SA Yadav,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,78.0,54,7,3,1,144.44444444444443,1,0,99.0,2
SM Curran,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,6.0,8,1,0,1,75.0,0,0,5.0,0
Shashank Singh,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,41.0,29,2,3,1,141.3793103448276,0,0,49.0,2
TH David,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,14.0,10,2,1,1,140.0,0,0,18.0,2
Tilak Varma,Mumbai Indians,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18,34.0,18,2,2,0,188.88888888888889,0,0,46.0,6
AM Nayar,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,12.0,14,1,0,0,85.71428571428571,0,0,13.0,0
DJ Bravo,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,1.0,6,0,0,1,16.666666666666664,0,0,-1.0,0
GC Smith,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,5.0,9,0,0,1,55.55555555555556,0,0,3.0,0
M Kaif,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,4.0,7,0,0,1,57.14285714285714,0,0,2.0,0
M Rawat,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,1.0,5,0,0,1,20.0,0,0,-1.0,0
MM Patel,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,0.0,1,0,0,0,0.0,0,0,0.0,0
RA Jadeja,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,0.0,1,0,0,1,0.0,0,0,-2.0,0
RV Uthappa,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,34.0,24,4,1,0,141.66666666666669,0,0,42.0,2
SA Asnodkar,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,39.0,38,3,1,1,102.63157894736842,0,0,42.0,0
SK Trivedi,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,1.0,3,0,0,1,33.33333333333333,0,0,-1.0,0
SK Warne,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,7.0,8,1,0,1,87.5,0,0,6.0,0
SR Watson,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,32.0,22,4,1,1,145.45454545454547,0,0,38.0,2
ST Jayasuriya,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,18.0,20,1,1,1,90.0,0,0,19.0,0
Sohail Tanvir,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,6.0,6,1,0,1,100.0,0,0,5.0,0
YK Pathan,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,1.0,3,0,0,1,33.33333333333333,0,0,-1.0,0
YV Takawale,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2008-05-07,27.0,35,1,1,1,77.14285714285715,0,0,28.0,0
AM Nayar,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,35.0,19,4,1,1,184.21052631578948,0,0,45.0,6
AM Rahane,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,3.0,7,0,0,1,42.85714285714285,0,0,1.0,0
C Nanda,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,0.0,1,0,0,1,0.0,0,0,-2.0,0
DJ Bravo,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,1.0,3,0,0,1,33.33333333333333,0,0,-1.0,0
DS Kulkarni,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,1.0,5,0,0,1,20.0,0,0,-1.0,0
GC Smith,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,19.0,19,3,0,1,100.0,0,0,20.0,0
Harbhajan Singh,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,7.0,9,0,0,0,77.77777777777779,0,0,7.0,0
J Botha,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,2.0,3,0,0,0,66.66666666666666,0,0,2.0,0
JP Duminy,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,4.0,6,0,0,1,66.66666666666666,0,0,2.0,0
NV Ojha,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,1.0,4,0,0,1,25.0,0,0,-1.0,0
RA Jadeja,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,42.0,35,4,1,1,120.0,0,0,46.0,0
RJ Quiney,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,51.0,40,5,2,1,127.5,1,0,66.0,0
SD Chitnis,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,6.0,9,1,0,1,66.66666666666666,0,0,5.0,0
SL Malinga,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,0.0,1,0,0,1,0.0,0,0,-2.0,0
SR Tendulkar,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,40.0,32,4,1,1,125.0,0,0,44.0,0
ST Jayasuriya,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,16.0,22,0,0,1,72.72727272727273,0,0,14.0,0
YK Pathan,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,17.0,14,3,0,1,121.42857142857142,0,0,18.0,0
YV Takawale,Mumbai Indians,Rajasthan Royals,Kingsmead,2009-05-14,18.0,22,2,0,1,81.81818181818183,0,0,18.0,0
A Uniyal,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,0.0,1,0,0,1,0.0,0,0,-2.0,0
AA Jhunjhunwala,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,14.0,11,1,1,1,127.27272727272728,0,0,15.0,0
AD Mascarenhas,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,9.0,8,0,0,1,112.5,0,0,7.0,0
AP Tare,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,23.0,16,3,1,1,143.75,0,0,28.0,2
AT Rayudu,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,55.0,34,6,2,1,161.76470588235296,1,0,75.0,4
GC Smith,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,26.0,22,4,0,2,118.1818181818182,0,0,26.0,0
Harbhajan Singh,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,8.0,6,1,0,2,133.33333333333331,0,0,5.0,0
NV Ojha,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,12.0,12,2,0,1,100.0,0,0,12.0,0
P Dogra,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,41.0,30,2,2,1,136.66666666666666,0,0,47.0,2
R McLaren,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,11.0,5,2,0,0,220.00000000000003,0,0,19.0,6
R Sathish,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,6.0,6,1,0,0,100.0,0,0,7.0,0
SK Warne,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,1.0,1,0,0,0,100.0,0,0,1.0,0
SR Tendulkar,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,2010-03-13,17.0,13,3,0,1,130.76923076923077,0,0,20.0,2
